,title,descriptionskills,skills,Code,intrest
128,Server Administrator,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.","Linux, information technology, cloud, VMware, computer systems, VSAN technology Analyz , IntranetKnowledge, VSAN technology , VMware, database, Windows, ",15-1244.00,Investigative
129,Rug Designer,"Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design.","UX testing, consistency , consistency AMPL, task flows, LAN software , designing, testing, designing, teamwork, UX, dashboards, testing",27-1021.00,Artistic
131,Technical Support Specialist,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.","Windows Software AG , computer systems, Windows Analyze, Analyz",15-1231.00,Realistic
133,Back End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","management systems, SQL  yet ,  reviews, MS, NoSQL Currently, data security C, File management software, Java, coding, coding, database, , Jail management software, data security C , SKILL",15-1254.00,Conventional
134,Quality Control Engineer,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.","test automation, APIs, test, eXe, APIs, Analyz , machine learning Analyze, machine learning eXe , testing",17-2112.02,Investigative
135,Sales Account Manager,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","sales Analyze, eXe, sales, Analyz , Sales, Digital Marketing, Sales",11-2022.00,Enterprising
138,Sales Engineer,"Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.","database , Sales, sales, designing, Marketing, CRM, sales",41-4011.00,Enterprising
139,Recruiter,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",IT,13-1071.00,Enterprising
141,SAP Consultant,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,"SystemsTight, FDA Go , analyze SAP, SAP, unit testing",15-2051.01,Investigative
142,SAP Business Analyst,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.","Git, Analyz , web analytics Analyze, Digital Product",15-1211.00,Investigative
143,Front End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","coding ,  reviews, Angular, , AngularWrite",15-1254.00,Conventional
144,Help Desk Specialist,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.","VMWare, computer software, computer systems eQuest , software installation, Windows Server , troubleshot, Microsoft distributed systems, DNS",15-1232.00,Realistic
147,Java Developer,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.","coding Scala , SQL, coding , JavaScript , CSS, HTML",15-1251.00,Investigative
148,Software Test Engineer,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.","Database eXe, test, AUTO , Android, automate, APIs, testing, Database eXe , Android, engineering, testing",15-1253.00,Investigative
149,Systems Engineer,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.","Analyz , Analyze",13-1081.01,Investigative
150,Technical Support Engineer,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",", Healthcare, sales, IT eQuest",15-1232.00,Realistic
151,Back End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","management systems, SQL, data security Database management systems ,  reviews, NoSQL, coding, database, , data security C , ",15-1254.00,Conventional
153,Software Project Manager,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.","LAN software , eXe, testing ADP software, eQuest",11-3021.00,Enterprising
154,Front End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","coding ,  reviews, Angular, , AngularWrite",15-1254.00,Conventional
155,Network Security Administrator,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.","Switches , IT security, Routers, Switches , Switchesxa, VPN , VPN",15-1244.00,Investigative
